A1	A2	B1	B2	Variable A	Variable B	Group	Group (base)	Method	Combination	ID A	ID B
C	7.0	ML	5.0	C7 - Committer type	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	CML	C7	ML5
C	7.0	O	3.0	C7 - Committer type	O3 - # Discussants in other media [sum]	E	E	boxplots	CO	C7	O3
C	7.0	R	3.0	C7 - Committer type	R3 - # Reviewers [sum]	2.1	2	boxplots	CR	C7	R3
C	7.0	R	5.0	C7 - Committer type	R5 - # Review comments [sum]	3.3	3	boxplots	CR	C7	R5
C	7.0	R	6.0	C7 - Committer type	R6 - # Rounds of code review [sum]	1	1	boxplots	CR	C7	R6
C	8.0	C	3.0	C8 - Multiple concerns	C3 - # Files changed	32	32	boxplots	CC	C8	C3
C	8.0	C	4.0	C8 - Multiple concerns	C4 - Commit file bugginess	32	32	boxplots	CC	C8	C4
C	8.0	C	5.0	C8 - Multiple concerns	C5 - Commit total line bugginess	32	32	boxplots	CC	C8	C5
C	8.0	C	6.0	C8 - Multiple concerns	C6 - Commit file line bugginess	32	32	boxplots	CC	C8	C6
C	8.0	F	4.0	C8 - Multiple concerns	F4 - # Bug discussants	31	31	boxplots	CF	C8	F4
C	8.0	F	9.0	C8 - Multiple concerns	F9 - # Bug comments [sum]	31	31	boxplots	CF	C8	F9
C	8.0	I	5.0	C8 - Multiple concerns	I5 - # Introducing issue discussants [sum]	E	E	boxplots	CI	C8	I5
C	8.0	I	7.0	C8 - Multiple concerns	I7 - # Introducing issue commits [sum]	31	31	boxplots	CI	C8	I7
C	8.0	I	10.0	C8 - Multiple concerns	I10 - # Introducing issue comments [sum]	E	E	boxplots	CI	C8	I10
C	8.0	ML	2.0	C8 - Multiple concerns	ML2 - # ML bug discussants [sum]	E	E	boxplots	CML	C8	ML2
C	8.0	ML	5.0	C8 - Multiple concerns	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	CML	C8	ML5
C	8.0	O	3.0	C8 - Multiple concerns	O3 - # Discussants in other media [sum]	E	E	boxplots	CO	C8	O3
C	8.0	R	3.0	C8 - Multiple concerns	R3 - # Reviewers [sum]	31	31	boxplots	CR	C8	R3
C	8.0	R	5.0	C8 - Multiple concerns	R5 - # Review comments [sum]	32	32	boxplots	CR	C8	R5
C	8.0	R	6.0	C8 - Multiple concerns	R6 - # Rounds of code review [sum]	32	32	boxplots	CR	C8	R6
C	9.0	C	3.0	C9 - Commit type Swanson	C3 - # Files changed	3.3	3	boxplots	CC	C9	C3
C	9.0	C	4.0	C9 - Commit type Swanson	C4 - Commit file bugginess	32	32	boxplots	CC	C9	C4
C	9.0	C	5.0	C9 - Commit type Swanson	C5 - Commit total line bugginess	32	32	boxplots	CC	C9	C5
C	9.0	C	6.0	C9 - Commit type Swanson	C6 - Commit file line bugginess	32	32	boxplots	CC	C9	C6
C	9.0	F	4.0	C9 - Commit type Swanson	F4 - # Bug discussants	31	31	boxplots	CF	C9	F4
C	9.0	F	9.0	C9 - Commit type Swanson	F9 - # Bug comments [sum]	31	31	boxplots	CF	C9	F9
C	9.0	I	5.0	C9 - Commit type Swanson	I5 - # Introducing issue discussants [sum]	1 (ovr)	1	boxplots	CI	C9	I5
C	9.0	I	7.0	C9 - Commit type Swanson	I7 - # Introducing issue commits [sum]	3.3 (ovr)	3	boxplots	CI	C9	I7
C	9.0	I	10.0	C9 - Commit type Swanson	I10 - # Introducing issue comments [sum]	3.1 (nc, ovr)	3	boxplots	CI	C9	I10
C	9.0	ML	2.0	C9 - Commit type Swanson	ML2 - # ML bug discussants [sum]	E	E	boxplots	CML	C9	ML2
C	9.0	ML	5.0	C9 - Commit type Swanson	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	CML	C9	ML5
C	9.0	O	3.0	C9 - Commit type Swanson	O3 - # Discussants in other media [sum]	E	E	boxplots	CO	C9	O3
C	9.0	R	3.0	C9 - Commit type Swanson	R3 - # Reviewers [sum]	3.4 (nc, ocr)	3	boxplots	CR	C9	R3
C	9.0	R	5.0	C9 - Commit type Swanson	R5 - # Review comments [sum]	3.3	3	boxplots	CR	C9	R5
C	9.0	R	6.0	C9 - Commit type Swanson	R6 - # Rounds of code review [sum]	3.3	3	boxplots	CR	C9	R6
C	10.0	C	3.0	C10 - Test changes	C3 - # Files changed	2.1	2	boxplots	CC	C10	C3
C	10.0	C	4.0	C10 - Test changes	C4 - Commit file bugginess	32	32	boxplots	CC	C10	C4
C	10.0	C	5.0	C10 - Test changes	C5 - Commit total line bugginess	32	32	boxplots	CC	C10	C5
C	10.0	C	6.0	C10 - Test changes	C6 - Commit file line bugginess	31	31	boxplots	CC	C10	C6
C	10.0	F	4.0	C10 - Test changes	F4 - # Bug discussants	32	32	boxplots	CF	C10	F4
C	10.0	F	9.0	C10 - Test changes	F9 - # Bug comments [sum]	32	32	boxplots	CF	C10	F9
C	10.0	I	5.0	C10 - Test changes	I5 - # Introducing issue discussants [sum]	31	31	boxplots	CI	C10	I5
C	10.0	I	7.0	C10 - Test changes	I7 - # Introducing issue commits [sum]	31	31	boxplots	CI	C10	I7
C	10.0	I	10.0	C10 - Test changes	I10 - # Introducing issue comments [sum]	32	32	boxplots	CI	C10	I10
C	10.0	ML	2.0	C10 - Test changes	ML2 - # ML bug discussants [sum]	E	E	boxplots	CML	C10	ML2
C	10.0	ML	5.0	C10 - Test changes	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	CML	C10	ML5
C	10.0	O	3.0	C10 - Test changes	O3 - # Discussants in other media [sum]	E	E	boxplots	CO	C10	O3
C	10.0	R	3.0	C10 - Test changes	R3 - # Reviewers [sum]	32	32	boxplots	CR	C10	R3
C	10.0	R	5.0	C10 - Test changes	R5 - # Review comments [sum]	32	32	boxplots	CR	C10	R5
C	10.0	R	6.0	C10 - Test changes	R6 - # Rounds of code review [sum]	32	32	boxplots	CR	C10	R6
C	11.0	C	3.0	C11 - Bug-covering test changes	C3 - # Files changed	31	31	boxplots	CC	C11	C3
C	11.0	C	4.0	C11 - Bug-covering test changes	C4 - Commit file bugginess	31	31	boxplots	CC	C11	C4
C	11.0	C	5.0	C11 - Bug-covering test changes	C5 - Commit total line bugginess	31	31	boxplots	CC	C11	C5
C	11.0	C	6.0	C11 - Bug-covering test changes	C6 - Commit file line bugginess	31	31	boxplots	CC	C11	C6
C	11.0	F	4.0	C11 - Bug-covering test changes	F4 - # Bug discussants	32	32	boxplots	CF	C11	F4
C	11.0	F	9.0	C11 - Bug-covering test changes	F9 - # Bug comments [sum]	32	32	boxplots	CF	C11	F9
C	11.0	I	5.0	C11 - Bug-covering test changes	I5 - # Introducing issue discussants [sum]	31	31	boxplots	CI	C11	I5
C	11.0	I	7.0	C11 - Bug-covering test changes	I7 - # Introducing issue commits [sum]	31	31	boxplots	CI	C11	I7
C	11.0	I	10.0	C11 - Bug-covering test changes	I10 - # Introducing issue comments [sum]	31	31	boxplots	CI	C11	I10
C	11.0	ML	2.0	C11 - Bug-covering test changes	ML2 - # ML bug discussants [sum]	E	E	boxplots	CML	C11	ML2
C	11.0	ML	5.0	C11 - Bug-covering test changes	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	CML	C11	ML5
C	11.0	O	3.0	C11 - Bug-covering test changes	O3 - # Discussants in other media [sum]	E	E	boxplots	CO	C11	O3
C	11.0	R	3.0	C11 - Bug-covering test changes	R3 - # Reviewers [sum]	32	32	boxplots	CR	C11	R3
C	11.0	R	5.0	C11 - Bug-covering test changes	R5 - # Review comments [sum]	32	32	boxplots	CR	C11	R5
C	11.0	R	6.0	C11 - Bug-covering test changes	R6 - # Rounds of code review [sum]	31	31	boxplots	CR	C11	R6
C	12.0	C	3.0	C12 - Bug-covering changes prior or subsequent commit	C3 - # Files changed	32	32	boxplots	CC	C12	C3
C	12.0	C	4.0	C12 - Bug-covering changes prior or subsequent commit	C4 - Commit file bugginess	32	32	boxplots	CC	C12	C4
C	12.0	C	5.0	C12 - Bug-covering changes prior or subsequent commit	C5 - Commit total line bugginess	32	32	boxplots	CC	C12	C5
C	12.0	C	6.0	C12 - Bug-covering changes prior or subsequent commit	C6 - Commit file line bugginess	32	32	boxplots	CC	C12	C6
C	12.0	F	4.0	C12 - Bug-covering changes prior or subsequent commit	F4 - # Bug discussants	32	32	boxplots	CF	C12	F4
C	12.0	F	9.0	C12 - Bug-covering changes prior or subsequent commit	F9 - # Bug comments [sum]	32	32	boxplots	CF	C12	F9
C	12.0	I	5.0	C12 - Bug-covering changes prior or subsequent commit	I5 - # Introducing issue discussants [sum]	31	31	boxplots	CI	C12	I5
C	12.0	I	7.0	C12 - Bug-covering changes prior or subsequent commit	I7 - # Introducing issue commits [sum]	31	31	boxplots	CI	C12	I7
C	12.0	I	10.0	C12 - Bug-covering changes prior or subsequent commit	I10 - # Introducing issue comments [sum]	31	31	boxplots	CI	C12	I10
C	12.0	ML	2.0	C12 - Bug-covering changes prior or subsequent commit	ML2 - # ML bug discussants [sum]	E	E	boxplots	CML	C12	ML2
C	12.0	ML	5.0	C12 - Bug-covering changes prior or subsequent commit	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	CML	C12	ML5
C	12.0	O	3.0	C12 - Bug-covering changes prior or subsequent commit	O3 - # Discussants in other media [sum]	E	E	boxplots	CO	C12	O3
C	12.0	R	3.0	C12 - Bug-covering changes prior or subsequent commit	R3 - # Reviewers [sum]	31	31	boxplots	CR	C12	R3
C	12.0	R	5.0	C12 - Bug-covering changes prior or subsequent commit	R5 - # Review comments [sum]	31	31	boxplots	CR	C12	R5
C	12.0	R	6.0	C12 - Bug-covering changes prior or subsequent commit	R6 - # Rounds of code review [sum]	32	32	boxplots	CR	C12	R6
C	13.0	C	3.0	C13 - Test failures	C3 - # Files changed	32	32	boxplots	CC	C13	C3
C	13.0	C	4.0	C13 - Test failures	C4 - Commit file bugginess	E	E	boxplots	CC	C13	C4
C	13.0	C	5.0	C13 - Test failures	C5 - Commit total line bugginess	E	E	boxplots	CC	C13	C5
C	13.0	C	6.0	C13 - Test failures	C6 - Commit file line bugginess	E	E	boxplots	CC	C13	C6
C	13.0	F	4.0	C13 - Test failures	F4 - # Bug discussants	E	E	boxplots	CF	C13	F4
C	13.0	F	9.0	C13 - Test failures	F9 - # Bug comments [sum]	E	E	boxplots	CF	C13	F9
C	13.0	I	5.0	C13 - Test failures	I5 - # Introducing issue discussants [sum]	E	E	boxplots	CI	C13	I5
C	13.0	I	7.0	C13 - Test failures	I7 - # Introducing issue commits [sum]	E	E	boxplots	CI	C13	I7
C	13.0	I	10.0	C13 - Test failures	I10 - # Introducing issue comments [sum]	E	E	boxplots	CI	C13	I10
C	13.0	ML	2.0	C13 - Test failures	ML2 - # ML bug discussants [sum]	E	E	boxplots	CML	C13	ML2
C	13.0	ML	5.0	C13 - Test failures	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	CML	C13	ML5
C	13.0	O	3.0	C13 - Test failures	O3 - # Discussants in other media [sum]	E	E	boxplots	CO	C13	O3
C	13.0	R	3.0	C13 - Test failures	R3 - # Reviewers [sum]	E	E	boxplots	CR	C13	R3
C	13.0	R	5.0	C13 - Test failures	R5 - # Review comments [sum]	E	E	boxplots	CR	C13	R5
C	13.0	R	6.0	C13 - Test failures	R6 - # Rounds of code review [sum]	E	E	boxplots	CR	C13	R6
C	15.0	C	3.0	C15 - Documentation changes	C3 - # Files changed	3.3	3	boxplots	CC	C15	C3
C	15.0	C	4.0	C15 - Documentation changes	C4 - Commit file bugginess	32	32	boxplots	CC	C15	C4
C	15.0	C	5.0	C15 - Documentation changes	C5 - Commit total line bugginess	32	32	boxplots	CC	C15	C5
C	15.0	C	6.0	C15 - Documentation changes	C6 - Commit file line bugginess	32	32	boxplots	CC	C15	C6
C	15.0	F	4.0	C15 - Documentation changes	F4 - # Bug discussants	31	31	boxplots	CF	C15	F4
C	15.0	F	9.0	C15 - Documentation changes	F9 - # Bug comments [sum]	31	31	boxplots	CF	C15	F9
C	15.0	I	5.0	C15 - Documentation changes	I5 - # Introducing issue discussants [sum]	31	31	boxplots	CI	C15	I5
C	15.0	I	7.0	C15 - Documentation changes	I7 - # Introducing issue commits [sum]	31	31	boxplots	CI	C15	I7
C	15.0	I	10.0	C15 - Documentation changes	I10 - # Introducing issue comments [sum]	31	31	boxplots	CI	C15	I10
C	15.0	ML	2.0	C15 - Documentation changes	ML2 - # ML bug discussants [sum]	E	E	boxplots	CML	C15	ML2
C	15.0	ML	5.0	C15 - Documentation changes	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	CML	C15	ML5
C	15.0	O	3.0	C15 - Documentation changes	O3 - # Discussants in other media [sum]	E	E	boxplots	CO	C15	O3
C	15.0	R	3.0	C15 - Documentation changes	R3 - # Reviewers [sum]	31	31	boxplots	CR	C15	R3
C	15.0	R	5.0	C15 - Documentation changes	R5 - # Review comments [sum]	31	31	boxplots	CR	C15	R5
C	15.0	R	6.0	C15 - Documentation changes	R6 - # Rounds of code review [sum]	31	31	boxplots	CR	C15	R6
C	16.0	C	3.0	C16 - Bug affecting documentation	C3 - # Files changed	32	32	boxplots	CC	C16	C3
C	16.0	C	4.0	C16 - Bug affecting documentation	C4 - Commit file bugginess	32	32	boxplots	CC	C16	C4
C	16.0	C	5.0	C16 - Bug affecting documentation	C5 - Commit total line bugginess	31	31	boxplots	CC	C16	C5
C	16.0	C	6.0	C16 - Bug affecting documentation	C6 - Commit file line bugginess	32	32	boxplots	CC	C16	C6
C	16.0	F	4.0	C16 - Bug affecting documentation	F4 - # Bug discussants	31	31	boxplots	CF	C16	F4
C	16.0	F	9.0	C16 - Bug affecting documentation	F9 - # Bug comments [sum]	31	31	boxplots	CF	C16	F9
C	16.0	I	5.0	C16 - Bug affecting documentation	I5 - # Introducing issue discussants [sum]	E	E	boxplots	CI	C16	I5
C	16.0	I	7.0	C16 - Bug affecting documentation	I7 - # Introducing issue commits [sum]	31	31	boxplots	CI	C16	I7
C	16.0	I	10.0	C16 - Bug affecting documentation	I10 - # Introducing issue comments [sum]	E	E	boxplots	CI	C16	I10
C	16.0	ML	2.0	C16 - Bug affecting documentation	ML2 - # ML bug discussants [sum]	E	E	boxplots	CML	C16	ML2
C	16.0	ML	5.0	C16 - Bug affecting documentation	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	CML	C16	ML5
