Bug_ID	Project	Notes	Duplicate_Bug_IDs	BIC	BFC	BIC_CodeReview	BIC_IntroducingIssue	BIC_Files	BIC_Files_ManualMatch	BIC_BUG_ML	BIC_II_ML	BIC_OtherIssues	CGC	CG_CodeReview	CG_IntroducingIssue	CG_OtherIssues	CG_II_ML
Elastic Search 864	elasticsearch		[]	8f324678e814432d32659bc7e48694759149ae74	ffc8c3b68a775a61924ca0cd01dc8b9b97a96d09	[]	[88]	[ modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchIllegalArgumentException.java, modules/elasticsearch/src/main/java/org/elasticsearch/rest/action/admin/indices/alias/RestIndicesAliasesAction.java ]	{ "modules/elasticsearch/src/main/java/org/elasticsearch/ElasticSearchIllegalArgumentException.java": null, "modules/elasticsearch/src/main/java/org/elasticsearch/rest/action/admin/indices/alias/RestIndicesAliasesAction.java": "modules/elasticsearch/src/main/java/org/elasticsearch/rest/action/admin/indices/alias/RestIndicesAliasesAction.java" }	[]	[]	[]	03ee0a942df39c01e5e4f4ecb392a746e3d979af	[]	[]	[]	[]
Elastic Search 8893	elasticsearch		[]	85eb0ea0e718fd9757d1bafa18f8767b1924f00c	7d5a15e461eccf82342dfa7aca7700ee304794ce	[7036]	[4718, 7036]	[ src/main/java/org/elasticsearch/index/mapper/core/AbstractFieldMapper.java, src/main/java/org/elasticsearch/index/mapper/internal/TimestampFieldMapper.java ]	{ "src/main/java/org/elasticsearch/index/mapper/core/AbstractFieldMapper.java": null, "src/main/java/org/elasticsearch/index/mapper/internal/TimestampFieldMapper.java": "src/main/java/org/elasticsearch/index/mapper/internal/TimestampFieldMapper.java" }	[]	[]	[]	4f131dfffbdadf5c5f9c9b7a03f9660233e04f72	[6319]	[]	[]	[]
Elastic Search 9317	elasticsearch		[]	5714b0a7adc96ac7bed92b8b5938d0885c32062a	7ca2ef9b93fc9421e860453de50961e90398f6f4	[]	[8454]	[ src/main/java/org/elasticsearch/search/aggregations/bucket/nested/NestedAggregator.java ]	{}	[]	[]	[]	bb49554c33b310e0e615c12befe8846a7d27c951	[]	[]	[]	[]
NOVA 1294939	nova		[]	542958fac7445a14deaae146b0d4047aa90a2fab	e08ce4de920b68c84ac45be8a657a95113688780	[67338]	[nova-network-objects]	[ nova/network/manager.py ]	{}	[]	[msg13595, msg13502, msg13294, msg13481, msg13482, msg13484, msg13489, msg15244, msg15245, msg18901]	[]	8218a86dedd50301252598667171d17d874bb36d	[70215]	[compute-manager-objects]	[]	[msg11310]
NOVA 1300788	nova		[]	e517e5668ab20214432e06ef87f7b16776edaf7c	98fb5e56ef96c0c6a8754276e5f8c9c0b7e50fed	[31593]	[1186944]	[ nova/virt/vmwareapi/vmops.py ]	{}	[]	[msg01473]	[]	ba1ed8958b6bde0d8b9f5862a83ac7e1a33e8313	[29062]	[]	[]	[]
NOVA 1307791	nova		[]	3dff43356619b4a935a5f395b066e96e8856bb4f	54f4600c82241ad6ae6768d3dcd1e1755dac4ddc	[14805]	[1067214]	[ nova/compute/api.py ]	{}	[]	[]	[]	27a5753dd3766b5535e0248d48c9bb555379dd12	[14806]	[884842]	[]	[]
NOVA 1314677	nova		[]	88ab9369e3ddfd8b8684bf280330ff8d37a74b2b	695191fa89387d96e60120ff32965493c844e7f5	[34464]	[eliminate-clear-passwords-from-cells-table]	[ nova/cells/state.py ]	{}	[]	[]	[]	ae1040232dc681d718d940af11108322044a23be	[40426]	[1208656]	[]	[msg02607, msg02652, msg02954]
NOVA 1336127	nova		[1437516]	2c62e344e26ccba08d5c613a7c4a40a0f076901e	6ddd9f93f82427ce909c7773f7a806361035a0b2	[42389]	[remove-cast-to-schedule-run-instance]	[ nova/compute/manager.py ]	{}	[]	[msg28501, msg28658, msg10106]	[]	90a37c069ede9d9b23ff6faef4ea6e48bbd7ebce	[44239]	[assertequal]	[]	[]
NOVA 1343080	nova	CG Review is on another branch 2232	[]	e7aa4022374fb35d2131a7c633212c5d6302db3d	e516de74c192591e890f4e9586d8e70bb8d9203e	[1324]	[]	[ doc/api_samples/OS-DCF/image-get-resp.json, doc/api_samples/OS-DCF/image-get-resp.xml, doc/api_samples/OS-DCF/image-list-resp.json, doc/api_samples/OS-DCF/image-list-resp.xml, doc/api_samples/OS-EXT-IMG-SIZE/image-get-resp.json, doc/api_samples/OS-EXT-IMG-SIZE/image-get-resp.xml, doc/api_samples/OS-EXT-IMG-SIZE/images-details-get-resp.json, doc/api_samples/OS-EXT-IMG-SIZE/images-details-get-resp.xml, doc/api_samples/image-get-resp.json, doc/api_samples/image-get-resp.xml, doc/api_samples/images-details-get-resp.json, doc/api_samples/images-details-get-resp.xml, doc/api_samples/images-list-get-resp.json, doc/api_samples/images-list-get-resp.xml, doc/v3/api_samples/image-size/image-get-resp.json, doc/v3/api_samples/image-size/images-details-get-resp.json, doc/v3/api_samples/images/image-get-resp.json, doc/v3/api_samples/images/images-details-get-resp.json, doc/v3/api_samples/images/images-list-get-resp.json, doc/v3/api_samples/os-disk-config/image-get-resp.json, doc/v3/api_samples/os-disk-config/image-list-resp.json, nova/api/openstack/compute/views/images.py ]	{ "doc/api_samples/OS-DCF/image-get-resp.json": null, "doc/api_samples/OS-DCF/image-get-resp.xml": null, "doc/api_samples/OS-DCF/image-list-resp.json": null, "doc/api_samples/OS-DCF/image-list-resp.xml": null, "doc/api_samples/OS-EXT-IMG-SIZE/image-get-resp.json": null, "doc/api_samples/OS-EXT-IMG-SIZE/image-get-resp.xml": null, "doc/api_samples/OS-EXT-IMG-SIZE/images-details-get-resp.json": null, "doc/api_samples/OS-EXT-IMG-SIZE/images-details-get-resp.xml": null, "doc/api_samples/image-get-resp.json": null, "doc/api_samples/image-get-resp.xml": null, "doc/api_samples/images-details-get-resp.json": null, "doc/api_samples/images-details-get-resp.xml": null, "doc/api_samples/images-list-get-resp.json": null, "doc/api_samples/images-list-get-resp.xml": null, "doc/v3/api_samples/image-size/image-get-resp.json": null, "doc/v3/api_samples/image-size/images-details-get-resp.json": null, "doc/v3/api_samples/images/image-get-resp.json": null, "doc/v3/api_samples/images/images-details-get-resp.json": null, "doc/v3/api_samples/images/images-list-get-resp.json": null, "doc/v3/api_samples/os-disk-config/image-get-resp.json": null, "doc/v3/api_samples/os-disk-config/image-list-resp.json": null, "nova/api/openstack/compute/views/images.py": "nova/api/openstack/images.py" }	[msg29884, msg29885]	[]	[]	475f3624245500c5382faf5b2708a59fcec2c9ad	[1934, 2232]	[897155]	[]	[]
NOVA 1367363	nova		[]	0fcbb7b286888d642d329db1299eb9f3708d1f50	5f93c841a80663b68da2fb04df78d5acd0754d68	[53069]	[1243083]	[ nova/virt/libvirt/driver.py ]	{}	[]	[]	[]	6ed6be8435284daf39ef1b8323e213c7885852c6	[63178]	[icehouse-objects]	[]	[]
NOVA 1370177	nova	Both icehouse-objects and clean-up-legacy-block-device-mapping are equally introducing for BIC	[1470834]	33e3d4c6b9e0b11500fe47d861110be1c1981572	a7de013891da5afd43c2aa2dd6dad61048799230	[59034]	[icehouse-objects, clean-up-legacy-block-device-mapping]	[ nova/block_device.py ]	{}	[msg53958, msg54057, msg54311]	[msg18407, msg18410, msg18411, msg18425]	[]	6982d8534d78d9732fc8d6e05c8f3bb432d62264	[65042]	[aggregate-api-policy]	[]	[]
