F1 - Bug ID,C1 - Commit revision hash,C3 - # Files changed,XC1 - Files found / Files expected,XC2 - Files found,XC3 - Files not found,XC4 - Files expected,XC5 - Lines added,XC6 - Lines deleted,C7 - Committer type,C4 - Commit file bugginess,C5 - Commit total line bugginess,C6 - Commit file line bugginess
NOVA 1370177 - CG,6982d8534d78d9732fc8d6e05c8f3bb432d62264,4,0/0,0,,,75,17,peripheral,,,
NOVA 1370590,7326bac8f9564bd96bbf69afe43cf3a876468c9c,2,1/1,nova/virt/libvirt/driver.py,,nova/virt/libvirt/driver.py,208,70,core,0.5,0.28776978417266186,0.013014478607450789
NOVA 1370590 - CG,e65a43837e9ccad8ca34da4d29824df591c685fe,1,0/0,0,,,2,2,core,,,
NOVA 1371677,5fa74bc0b2ab6fe5149a9b684b4beadb67877622,9,1/1,nova/virt/libvirt/driver.py,,nova/virt/libvirt/driver.py,731,44,core,0.1111111111111111,0.09032258064516129,0.011585567692816948
NOVA 1371677 - CG,9340f6db7961824aabdf73cecf5e19892ce01c03,1,0/0,0,,,13,9,core,,,
NOVA 1375379,e71e8c2a8902acb59dc95e4ea3521e09ae50aa7d,3,1/1,nova/console/websocketproxy.py,,nova/console/websocketproxy.py,18,153,core,0.3333333333333333,0.4327485380116959,0.8222222222222222
NOVA 1375379 - CG,f2baacd4e634b815fe011ced0d6e46f6c06b7fdd,1,0/0,0,,,12,3,core,,,
NOVA 1381468,30871e8702737edbbfbcbbb5f21858873b37685c,2,1/1,nova/scheduler/filters/trusted_filter.py,,nova/scheduler/filters/trusted_filter.py,28,57,peripheral,0.5,0.9411764705882353,0.3007518796992481
NOVA 1381468 - CG,583d12f4fae620719b893cb7f9fbfc461ec8a124,2,0/0,0,,,0,12,core,,,
NOVA 1392798,a9d0313cc7d36a9e5e60aa7710b9ce8ec2f37f19,8,1/1,nova/compute/manager.py,,nova/compute/manager.py,215,17,core,0.125,0.14224137931034483,0.008631964425843578
NOVA 1392798 - CG,1b32ed31425a0332ab16f5b5f6c08a20eafe7963,1,0/0,0,,,188,104,core,,,
NOVA 1402535,933365a583daa5b9eabcf2397c3e7b803e7af74c,3,1/1,nova/virt/libvirt/volume.py,,nova/virt/libvirt/volume.py,247,40,peripheral,0.3333333333333333,0.8292682926829268,0.3895253682487725
NOVA 1402535 - CG,2d0578c539d000981e50ba0c143385974d10e2e2,2,0/0,0,,,59,3,core,,,
NOVA 1402728,2bcda65d512f38902514e986883d9b36f4d85c33,6,2/2,"nova/virt/vmwareapi/vm_util.py
nova/virt/vmwareapi/vmops.py",,"nova/virt/vmwareapi/vm_util.py
nova/virt/vmwareapi/vmops.py",150,4,core,0.3333333333333333,0.2077922077922078,0.010078740157480314
NOVA 1402728 - CG,990561227d1cdadc1ae91fdcc74286a47f0ddf2c,2,0/0,0,,,136,6,core,,,
