F1 - Bug ID,I1 - Introducing issues IDs,I3 - Introducing issue severity [max],I4 - Introducing issue labels,I5.2 - Introducing issue reporter role [max],I5.3 - Introducing issue assignee role [max],I5.4 - Introducing issue creator role [max],I7 - # Introducing issue commits [sum],I9 - Introducing issue reopened [any],I5 - # Introducing issue discussants [sum],I5.1 - Introducing issue discussant roles,I10 - # Introducing issue comments [sum],I11 - # Introducing issue comments after closed (first) [sum],I12 - # Introducing issue comments after closed (last) [sum]
NOVA 1314677,['eliminate-clear-passwords-from-cells-table'],Medium,[],not involved,not involved,not involved,2.0,False,,,,,
NOVA 1314677 - CG,['1208656'],Undecided,[],core,core,core,1.0,False,3.0,"['core', 'core', 'not involved']",3.0,0.0,0.0
NOVA 1336127,['remove-cast-to-schedule-run-instance'],High,[],not involved,not involved,,14.0,False,,,,,
NOVA 1336127 - CG,['assertequal'],Low,[],not involved,not involved,not involved,16.0,False,1.0,['not involved'],0.0,0.0,0.0
NOVA 1343080,,,,,,,,,,,,,
NOVA 1343080 - CG,['897155'],High,['in-stable-diablo'],core,core,core,3.0,False,4.0,"['core', 'not involved', 'not involved', 'not involved']",5.0,1.0,1.0
NOVA 1367363,['1243083'],Undecided,['lxc'],not involved,not involved,not involved,1.0,False,2.0,"['not involved', 'not involved']",2.0,0.0,0.0
NOVA 1367363 - CG,['icehouse-objects'],Medium,[],peripheral,peripheral,,41.0,False,,,,,
NOVA 1370177,"['icehouse-objects', 'clean-up-legacy-block-device-mapping']",Medium,[],core,core,core,57.0,False,,,,,
NOVA 1370177 - CG,['aggregate-api-policy'],Low,[],peripheral,peripheral,peripheral,1.0,False,,,,,
NOVA 1370590,['libvirt-start-lxc-from-block-devices'],Low,[],not involved,not involved,not involved,2.0,False,,,,,
NOVA 1370590 - CG,,,,,,,,,,,,,
NOVA 1371677,['lvm-ephemeral-storage-encryption'],Low,[],core,core,core,1.0,False,,,,,
NOVA 1371677 - CG,,,,,,,,,,,,,
NOVA 1375379,['libvirt-spice'],Medium,[],core,core,core,7.0,False,,,,,
NOVA 1375379 - CG,,,,,,,,,,,,,
NOVA 1381468,['1373993'],Critical,['scheduler'],core,core,core,3.0,False,3.0,"['core', 'not involved', 'core']",9.0,4.0,4.0
NOVA 1381468 - CG,,,,,,,,,,,,,
NOVA 1392798,['1131588'],High,[],core,not involved,core,1.0,False,3.0,"['core', 'not involved', 'not involved']",4.0,0.0,0.0
NOVA 1392798 - CG,,,,,,,,,,,,,
NOVA 1402535,,,,,,,,,,,,,
NOVA 1402535 - CG,['1148734'],Low,[],not involved,core,not involved,1.0,False,4.0,"['core', 'core', 'not involved', 'not involved']",3.0,0.0,0.0
